Direccion;Precio;Tipo_Adquicision;Habitaciones;Banios;Ciudad;Fecha
1621 S Dixie Hwy, Pompano Beach, FL;;;;;Pompano Beach;2024-02-10T23:34:02.085Z
6325 Health Park Way, Bradenton, FL;;;;;Bradenton;2023-10-27T16:39:01.295Z
12520 Sunglow Blvd, Venice, FL;;;;;Venice;2023-11-01T02:56:58.498Z
8500 Cleary Blvd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-12-22T03:44:31.352Z
13600 Hilltop Dr, Clermont, FL;;;;;Clermont;2023-11-03T23:21:35.290Z
12125 Rangeland Pkwy, Bradenton, FL;;;;;Bradenton;2024-02-04T23:27:27.804Z
11727 Abess Blvd, Jacksonville, FL;;;;;Jacksonville;2024-01-28T13:21:57.239Z
711 Forest Club Dr, Wellington, FL;;;;;Wellington;2023-11-23T09:02:09.681Z
50 Ventures Dr, Saint Augustine, FL;;;;;Saint Augustine;2023-11-19T21:06:54.479Z
161 Blue Palm Ave, Pt Washington, FL;;;;;Pt Washington;2023-10-12T23:40:24.249Z
Lofts at Murray Hill, 840 Edgewood Ave S APT 427, Jacksonville, FL 32205;1449;ForRent;1;1;Jacksonville;2023-11-05T14:58:07.484Z
9650 SE Eagle Ave, Hobe Sound, FL;;;;;Hobe Sound;2024-02-01T07:21:56.184Z
3640 Blue Fin Way, Fort Myers, FL;;;;;Fort Myers;2023-12-05T12:44:04.333Z
6901 W Sunrise Blvd, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-12-09T10:22:13.075Z
962 Bentstation Ln, Lake Mary, FL;;;;;Lake Mary;2024-01-23T07:30:11.244Z
8604 Whelch Dr, Panama City, FL;;;;;Panama City;2024-02-06T11:35:38.223Z
101 Diplomat Pkwy, Hallandale, FL;;;;;Hallandale;2023-10-22T06:08:14.658Z
100 Treviso Grand Cir, Nokomis, FL;;;;;Nokomis;2023-12-26T07:50:30.216Z
125 Via D Este Dr, Delray Beach, FL;;;;;Delray Beach;2023-10-26T21:23:26.008Z
2990 Longwater Blvd, Kissimmee, FL;;;;;Kissimmee;2023-12-31T18:31:58.380Z
2098 Seminole Blvd, Largo, FL;;;;;Largo;2024-02-13T06:45:45.495Z
93 Palma Dr, Saint Augustine, FL;;;;;Saint Augustine;2023-11-04T07:49:17.811Z
10598 Cordgrass Ln, Jacksonville, FL;;;;;Jacksonville;2024-02-08T12:25:07.962Z
14800 Cumberland Dr, Delray Beach, FL;;;;;Delray Beach;2023-11-14T03:54:17.766Z
10241 SW Newberry Ave, Pt Saint Lucie, FL;;;;;Pt Saint Lucie;2024-01-11T19:01:33.935Z
1250A College Pkwy, Gulf Breeze, FL;;;;;Gulf Breeze;2023-10-31T15:07:33.374Z
1701 Central Ave, Saint Petersburg, FL;;;;;Saint Petersburg;2023-12-06T15:53:12.134Z
11841 Jefferson Commons Cir, Orlando, FL;;;;;Orlando;2023-10-28T23:10:53.203Z
440 NE 4th Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-02-26T22:28:57.014Z
13924 Egrets Nest Dr, Jacksonville, FL;;;;;Jacksonville;2024-02-12T22:30:03.399Z
2301 Willet Pl, Melbourne, FL;;;;;Melbourne;2023-10-21T17:27:22.353Z
8800 Boardwalk Trail Dr, Tampa, FL;;;;;Tampa;2024-03-28T10:18:39.384Z
50 Sedge Cir, Freeport, FL;;;;;Freeport;2024-03-05T15:00:36.547Z
8353 Auterra Dr, Melbourne, FL;;;;;Melbourne;2024-02-21T20:14:35.158Z
1201 Cleveland Ave, Wildwood, FL;;;;;Wildwood;2023-11-09T15:11:45.313Z
1541 Spruce Ter, Tampa, FL 33607;2200;ForRent;2;1;Tampa;2024-03-11T06:07:17.325Z
7578 Highsmith Rd, Melbourne, FL;;;;;Melbourne;2023-11-14T10:25:08.612Z
1300 Hendricks Ave, Jacksonville, FL;;;;;Jacksonville;2024-04-10T10:06:53.493Z
8851 Us Highway 19 N, Pinellas Park, FL;;;;;Pinellas Park;2023-11-23T22:03:41.184Z
2900 Height St, Sarasota, FL;;;;;Sarasota;2024-02-15T08:13:22.011Z
8910 College Pointe Ct, Fort Myers, FL;;;;;Fort Myers;2023-10-13T07:16:12.914Z
Hammock Cove, 11921 Colerain Rd, Saint Marys, GA 31558;1719;ForRent;2;2;Saint Marys;2024-03-16T23:27:41.893Z
2753 Mayport Rd, Atlantic Beach, FL;;;;;Atlantic Beach;2024-01-16T14:05:07.159Z
14330 58th St N, Clearwater, FL;;;;;Clearwater;2023-12-25T06:50:06.885Z
5900 Townsend Rd, Jacksonville, FL;;;;;Jacksonville;2023-12-29T08:53:01.925Z
3611 SW 34th St, Gainesville, FL;;;;;Gainesville;2023-12-08T21:09:23.167Z
15500 Mark Ln, Naples, FL;;;;;Naples;2024-01-26T22:09:46.548Z
9246 Headwaters Ave, Riverview, FL;;;;;Riverview;2023-10-16T00:59:40.544Z
11385 Exchange St, Jacksonville, FL;;;;;Jacksonville;2024-02-16T14:53:42.013Z
4001 Taggart Cay N, Sarasota, FL;;;;;Sarasota;2023-12-03T19:43:09.243Z
6251 Sawyer Loop Rd, Sarasota, FL;;;;;Sarasota;2023-12-30T21:16:00.903Z
1991 Presidential Way, West Palm Beach, FL;;;;;West Palm Beach;2024-02-11T18:28:10.613Z
2825 S Washington Ave, Titusville, FL;;;;;Titusville;2023-10-12T14:50:56.712Z
5538 Lavender Cotton Pl, Apollo Beach, FL;;;;;Apollo Beach;2023-12-03T08:31:28.326Z
6011 Vineland Resort Way, Orlando, FL;;;;;Orlando;2023-10-25T18:55:59.120Z
14030 Atlantic Blvd, Jacksonville, FL;;;;;Jacksonville;2023-12-19T17:22:07.948Z
8005 Lorraine Rd, Bradenton, FL;;;;;Bradenton;2023-11-19T13:55:44.022Z
12397 San Jose Blvd, Jacksonville, FL;;;;;Jacksonville;2024-04-05T20:03:30.265Z
2001 Glenridge Way, Winter Park, FL;;;;;Winter Park;2024-02-24T03:01:00.475Z
70 NW 25th St, Miami, FL;;;;;Miami;2024-02-10T15:27:25.203Z
2115 Arnold Palmer Dr, Davenport, FL;;;;;Davenport;2024-04-01T13:11:21.734Z
5905 Trace Meadow Loop, Riverview, FL;;;;;Riverview;2023-11-10T12:34:31.071Z
8572 Myslak Way, Pensacola, FL;;;;;Pensacola;2024-01-09T04:17:17.787Z
1861 Teal Cir, Gulf Breeze, FL;;;;;Gulf Breeze;2024-04-04T06:59:58.996Z
1030 Browning Rd, Lakeland, FL;;;;;Lakeland;2023-12-25T01:04:03.804Z
10405 Apollo Manor Cir, Riverview, FL;;;;;Riverview;2023-12-28T23:25:57.833Z
2710 59th Dr E, Ellenton, FL;;;;;Ellenton;2024-03-09T05:19:35.670Z
75 SW 75th St, Gainesville, FL;;;;;Gainesville;2023-12-30T16:20:25.352Z
2150 NW 21st Ave, Ocala, FL;;;;;Ocala;2024-02-26T16:58:32.142Z
1250 Reserve Trl, Jensen Beach, FL;;;;;Jensen Beach;2024-01-11T18:48:25.746Z
100 Navigator Dr, Daytona Beach, FL;;;;;Daytona Beach;2023-11-28T14:38:48.010Z
50 Pine Shadow Pkwy, Ponte Vedra, FL;;;;;Ponte Vedra;2024-03-21T04:34:16.213Z
20080 W Dixie Hwy, Miami, FL;;;;;Miami;2024-01-10T23:52:57.251Z
5611 NW 112th Ave, Miami, FL;;;;;Miami;2024-01-21T06:03:26.086Z
5207 Belle Chase Cir, Tampa, FL;;;;;Tampa;2023-12-30T09:37:45.685Z
1479 Silver Maple Dr, Saint Cloud, FL;;;;;Saint Cloud;2023-12-09T03:31:31.342Z
500 Sugar Mill Rd, Oviedo, FL;;;;;Oviedo;2023-10-15T02:15:08.794Z
120 SW 148th Dr, Newberry, FL;;;;;Newberry;2024-03-10T15:36:12.445Z
2211 Amble Way, Land O Lakes, FL;;;;;Land O Lakes;2024-01-09T13:25:02.342Z
1200 Preservation Trl, Ponte Vedra, FL;;;;;Ponte Vedra;2024-03-12T14:14:03.291Z
801 Bella Verde Ter, Sanford, FL;;;;;Sanford;2023-11-21T16:21:47.132Z
2205 Magnolia Cir, Tallahassee, FL;;;;;Tallahassee;2024-04-06T10:33:23.907Z
1605 Renaissance Commons Blvd, Boynton Beach, FL;;;;;Boynton Beach;2024-03-15T18:13:09.486Z
198 Mill Bayou Blvd, Panama City, FL;;;;;Panama City;2024-01-13T11:45:49.328Z
1037 Peach Creek Dr, Osteen, FL;;;;;Osteen;2023-11-21T20:41:24.880Z
401 SW 1st Ave, Fort Lauderdale, FL;;;;;Fort Lauderdale;2024-01-14T12:18:00.731Z
2480 1st St, Fort Myers, FL;;;;;Fort Myers;2024-02-01T10:49:32.685Z
213 Cantabria Way St, Saint Augustine, FL;;;;;Saint Augustine;2023-12-01T05:25:01.631Z
812 Dunn Ave, Jacksonville, FL;;;;;Jacksonville;2024-03-24T14:29:25.563Z
